2022-08-24T14:06:15.786,FD, C, 0, 0,BF, 1, 1,    24,mavlink_servo_output_raw_t,time_usec,3527694269,servo1_raw,1495,servo2_raw,1410,servo3_raw,1100,servo4_raw,1498,servo5_raw,0,servo6_raw,0,servo7_raw,0,servo8_raw,0,port,0,servo9_raw,0,servo10_raw,0,servo11_raw,0,servo12_raw,0,servo13_raw,0,servo14_raw,0,servo15_raw,0,servo16_raw,0,,sig ,Len,24,crc16,5433
2022-08-24T14:06:15.795,FD,2A, 0, 0,C0, 1, 1,    41,mavlink_rc_channels_t,time_boot_ms,7822661,chan1_raw,1500,chan2_raw,1500,chan3_raw,0,chan4_raw,1500,chan5_raw,0,chan6_raw,0,chan7_raw,0,chan8_raw,0,chan9_raw,0,chan10_raw,0,chan11_raw,0,chan12_raw,0,chan13_raw,0,chan14_raw,0,chan15_raw,0,chan16_raw,0,chan17_raw,0,chan18_raw,0,chancount,0,rssi,255,,sig ,Len,54,crc16,53598
2022-08-24T14:06:15.802,FD,1D, 0, 0,C1, 1, 1,    1B,mavlink_raw_imu_t,time_usec,7822661597,xacc,291,yacc,-40,zacc,-966,xgyro,20,ygyro,312,zgyro,10,xmag,-32,ymag,-266,zmag,570,id,0,temperature,5033,,sig ,Len,41,crc16,40574
2022-08-24T14:06:15.809,FD,18, 0, 0,C2, 1, 1,    74,mavlink_scaled_imu2_t,time_boot_ms,7822661,xacc,288,yacc,-34,zacc,-967,xgyro,19,ygyro,311,zgyro,11,xmag,-240,ymag,14,zmag,621,temperature,5076,,sig ,Len,36,crc16,6821
2022-08-24T14:06:15.813,FD, E, 0, 0,C3, 1, 1,    1D,mavlink_scaled_pressure_t,time_boot_ms,7822661,press_abs,1021,675,press_diff,0,temperature,4908,temperature_press_diff,0,,sig ,Len,26,crc16,13079
2022-08-24T14:06:15.823,FD,2D, 0, 0,C4, 1, 1,    18,mavlink_gps_raw_int_t,time_usec,0,lat,0,lon,0,alt,-17000,eph,9999,epv,9999,vel,0,cog,0,fix_type,1,satellites_visible,0,alt_ellipsoid,0,h_acc,4294967295,v_acc,4294967295,vel_acc,1000000,hdg_acc,0,yaw,0,,sig ,Len,57,crc16,61575
2022-08-24T14:06:15.827,FD, B, 0, 0,C5, 1, 1,     2,mavlink_system_time_t,time_unix_usec,0,time_boot_ms,7822661,,sig ,Len,23,crc16,37459
2022-08-24T14:06:15.834,FD,1C, 0, 0,C6, 1, 1,    A3,mavlink_ahrs_t,omegaIx,-2,422128E-05,omegaIy,0,0004338521,omegaIz,-0,000536394,accel_weight,0,renorm_val,0,error_rp,0,002821939,error_yaw,0,4000084,,sig ,Len,40,crc16,58169
2022-08-24T14:06:15.836,FD, 2, 0, 0,C7, 1, 1,    A5,mavlink_hwstatus_t,Vcc,5045,I2Cerr,0,,sig ,Len,14,crc16,38857
2022-08-24T14:06:15.839,FD, 4, 0, 0,C8, 1, 1,    A8,mavlink_wind_t,direction,-180,speed,0,speed_z,0,,sig ,Len,16,crc16,25448
2022-08-24T14:06:15.841,FD, 1, 0, 0,C9, 1, 1,    88,mavlink_terrain_report_t,lat,0,lon,0,terrain_height,0,current_height,0,spacing,0,pending,0,loaded,0,,sig ,Len,13,crc16,64936
2022-08-24T14:06:15.847,FD,16, 0, 0,CA, 1, 1,    C1,mavlink_ekf_status_report_t,velocity_variance,0,pos_horiz_variance,0,pos_vert_variance,0,compass_variance,0,terrain_alt_variance,0,flags,1024,airspeed_variance,0,,sig ,Len,34,crc16,56691
2022-08-24T14:06:15.853,FD,14, 0, 0,CB, 1, 1,    F1,mavlink_vibration_t,time_usec,7822681559,vibration_x,0,2723084,vibration_y,0,2070187,vibration_z,0,4456785,clipping_0,0,clipping_1,0,clipping_2,0,,sig ,Len,32,crc16,62570
2022-08-24T14:06:15.864,FD,32, 0, 0,CC, 1, 1,    57,mavlink_position_target_global_int_t,time_boot_ms,7822681,lat_int,0,lon_int,0,alt,100,vx,0,vy,0,vz,0,afx,0,afy,0,afz,0,yaw,0,yaw_rate,0,type_mask,65016,coordinate_frame,0,,sig ,Len,62,crc16,44202
2022-08-24T14:06:15.866,FD, 4, 0, 0,CD, 1, 1,  2B0C,mavlink_aoa_ssa_t,time_usec,3527714301,AOA,0,SSA,0,,sig ,Len,16,crc16,14632
